date,day_of_week,students,meals_prepared,meals_sold,previous_waste_kg,rain,holiday,exam_day,special_event,temperature,food_waste_kg
2021-02-24,Wednesday,604,608,575,6.31,1,0,0,0,27.2,4.86
2021-02-25,Thursday,577,553,530,3.56,1,0,1,0,29.9,3.22
2021-02-26,Friday,658,621,584,4.14,0,0,0,0,28.8,4.08
2021-02-27,Saturday,184,199,179,4.57,1,0,1,1,31.7,3.56
2021-02-28,Sunday,355,363,327,4.12,0,0,0,0,21.4,2.74
2021-03-01,Monday,230,215,202,1.0,0,0,0,0,26.3,0.5
2021-03-02,Tuesday,711,683,638,6.53,0,0,0,0,30.6,4.17
2021-03-03,Wednesday,537,569,507,2.61,1,0,0,0,25.2,6.71
2021-03-04,Thursday,151,68,65,3.39,0,1,0,0,34.5,1.88
2021-03-05,Friday,539,565,527,9.16,0,0,0,0,25.3,6.53
2021-03-06,Saturday,715,209,184,4.83,0,1,0,0,29.7,1.73
2021-03-07,Sunday,255,256,232,2.57,1,0,0,0,28.5,4.57
2021-03-08,Monday,626,667,613,4.66,0,0,1,1,23.9,3.32
2021-03-09,Tuesday,551,683,610,7.18,0,0,1,1,29.3,8.87
2021-03-10,Wednesday,705,789,705,7.08,0,0,1,0,22.4,8.15
2021-03-11,Thursday,311,325,309,4.74,0,0,0,0,26.8,0.5
2021-03-12,Friday,351,393,346,7.7,1,0,0,0,29.2,5.64
2021-03-13,Saturday,419,439,387,7.73,0,0,0,0,21.9,3.89
2021-03-14,Sunday,420,438,390,3.06,1,0,0,0,32.1,7.74
2021-03-15,Monday,605,199,189,3.08,0,1,0,0,30.3,1.53
2021-03-16,Tuesday,611,654,569,8.06,1,0,0,0,31.7,10.92
2021-03-17,Wednesday,401,403,357,7.76,0,0,0,0,29.0,3.99
2021-03-18,Thursday,445,425,396,4.74,0,0,0,0,23.2,4.78
2021-03-19,Friday,487,547,502,3.74,0,0,0,1,29.0,6.05
2021-03-20,Saturday,202,237,217,4.38,1,0,0,1,32.1,6.42
2021-03-21,Sunday,366,425,365,9.07,1,0,0,0,23.0,7.17
2021-03-22,Monday,337,360,326,3.92,0,0,0,0,23.4,2.82
2021-03-23,Tuesday,529,591,552,3.38,1,0,0,1,27.8,4.47
2021-03-24,Wednesday,642,751,660,7.45,0,0,0,1,27.1,7.1
2021-03-25,Thursday,190,213,189,2.65,0,0,0,0,28.9,1.47
2021-03-26,Friday,306,71,75,3.77,0,1,0,0,27.5,3.06
2021-03-27,Saturday,164,177,156,2.5,0,0,0,0,29.8,1.12
2021-03-28,Sunday,214,203,191,5.49,1,0,0,0,35.1,3.39
2021-03-29,Monday,670,712,625,8.18,0,0,0,0,31.7,8.72
2021-03-30,Tuesday,493,473,429,6.17,0,0,0,0,29.3,5.68
2021-03-31,Wednesday,278,309,276,5.56,0,0,1,1,23.5,2.13
2021-04-01,Thursday,797,695,622,8.05,0,0,0,0,25.4,7.19
2021-04-02,Friday,621,666,578,6.78,0,0,0,0,33.2,6.44
2021-04-03,Saturday,212,205,189,1.62,0,0,0,0,26.7,2.61
2021-04-04,Sunday,288,294,262,3.4,0,0,0,0,24.2,2.63
2021-04-05,Monday,648,583,555,5.71,0,0,0,0,39.5,2.63
2021-04-06,Tuesday,742,695,661,1.19,0,0,0,0,36.6,3.14
2021-04-07,Wednesday,541,493,439,1.87,0,0,0,0,28.4,5.16
2021-04-08,Thursday,568,504,482,4.11,0,0,0,0,23.6,0.5
2021-04-09,Friday,438,432,376,7.1,0,0,0,0,32.6,4.77
2021-04-10,Saturday,528,529,480,6.96,0,0,0,0,26.5,6.61
2021-04-11,Sunday,639,725,618,6.67,0,0,1,0,33.4,7.89
2021-04-12,Monday,380,350,330,1.48,0,0,0,0,26.6,0.71
2021-04-13,Tuesday,190,188,182,1.59,0,0,1,0,37.2,2.55
2021-04-14,Wednesday,177,149,149,1.79,0,0,0,0,26.4,0.5
2021-04-15,Thursday,284,295,250,4.37,0,0,1,0,40.8,3.86
2021-04-16,Friday,350,352,324,4.26,0,0,1,0,30.0,3.45
2021-04-17,Saturday,182,153,153,5.03,1,0,0,0,35.9,0.5
2021-04-18,Sunday,197,193,163,4.04,0,0,0,0,26.3,0.5
2021-04-19,Monday,652,632,554,8.48,0,0,0,0,22.4,6.94
2021-04-20,Tuesday,556,560,500,6.98,1,0,0,0,17.5,7.21
2021-04-21,Wednesday,723,707,667,3.42,0,0,0,0,35.4,3.11
2021-04-22,Thursday,248,255,234,4.81,1,0,0,0,29.3,2.72
2021-04-23,Friday,696,727,651,7.71,0,0,0,0,22.8,5.73
2021-04-24,Saturday,762,717,653,6.02,1,0,0,0,35.6,9.48
2021-04-25,Sunday,611,666,636,4.46,0,0,1,0,34.8,3.28
2021-04-26,Monday,792,702,664,4.49,0,0,0,0,35.9,5.15
2021-04-27,Tuesday,154,149,132,1.47,1,0,0,0,22.3,2.82
2021-04-28,Wednesday,367,318,299,7.8,0,0,0,0,35.2,2.71
2021-04-29,Thursday,652,740,654,9.13,0,0,1,0,30.9,7.87
2021-04-30,Friday,547,531,477,6.42,1,0,0,0,36.1,7.15
2021-05-01,Saturday,542,507,454,4.69,0,0,0,0,31.7,3.08
2021-05-02,Sunday,356,397,345,5.19,0,0,0,0,29.9,5.21
2021-05-03,Monday,164,169,135,2.26,0,0,0,0,35.3,1.9
2021-05-04,Tuesday,703,709,658,6.15,0,0,0,0,33.3,7.41
2021-05-05,Wednesday,610,197,187,3.66,1,1,1,0,34.4,1.27
2021-05-06,Thursday,724,658,623,4.05,1,0,0,0,26.6,5.39
2021-05-07,Friday,390,368,328,4.75,0,0,0,0,28.1,2.26
2021-05-08,Saturday,713,677,609,5.7,0,0,1,0,20.3,4.58
2021-05-09,Sunday,245,276,249,3.1,0,0,0,0,26.2,1.93
2021-05-10,Monday,634,605,554,3.91,0,0,0,0,33.0,6.14
2021-05-11,Tuesday,556,540,517,1.93,1,0,1,0,31.8,2.68
2021-05-12,Wednesday,380,408,364,3.66,0,0,0,0,24.1,1.73
2021-05-13,Thursday,320,264,255,1.87,0,0,0,0,35.4,0.5
2021-05-14,Friday,690,763,646,10.9,1,0,0,0,42.0,10.52
2021-05-15,Saturday,185,198,181,2.32,1,0,0,0,24.5,0.57
2021-05-16,Sunday,674,603,577,1.0,0,0,0,0,28.0,3.29
2021-05-17,Monday,309,295,280,3.85,0,0,0,0,25.9,0.5
2021-05-18,Tuesday,392,407,379,5.16,0,0,0,0,28.5,2.34
2021-05-19,Wednesday,235,267,223,6.66,1,0,1,0,30.4,7.26
2021-05-20,Thursday,727,658,612,5.33,0,0,0,0,25.5,3.25
2021-05-21,Friday,706,675,630,2.92,0,0,1,0,27.6,1.14
2021-05-22,Saturday,723,828,728,6.56,0,0,1,0,29.4,7.87
2021-05-23,Sunday,795,787,750,5.62,0,0,0,0,31.4,2.63
2021-05-24,Monday,177,183,163,6.23,0,0,0,0,36.3,4.27
2021-05-25,Tuesday,769,767,717,3.19,1,0,0,1,28.9,6.9
2021-05-26,Wednesday,705,815,737,7.17,1,0,0,1,26.2,9.56
2021-05-27,Thursday,489,519,494,2.88,1,0,1,0,32.5,3.54
2021-05-28,Friday,480,425,392,2.83,0,0,0,0,31.0,2.63
2021-05-29,Saturday,789,772,669,8.23,1,0,0,0,28.0,9.24
2021-05-30,Sunday,655,683,619,5.78,1,0,0,0,31.4,4.9
2021-05-31,Monday,497,527,463,2.38,0,0,0,0,27.1,5.56
2021-06-01,Tuesday,622,616,578,4.95,0,0,0,0,26.3,2.81
2021-06-02,Wednesday,380,417,377,5.29,0,0,0,0,19.5,3.57
2021-06-03,Thursday,339,116,121,3.57,1,1,0,0,27.4,2.93
2021-06-04,Friday,374,363,333,3.12,0,0,0,0,20.2,2.26
2021-06-05,Saturday,534,550,506,2.06,1,0,0,0,25.8,5.81
2021-06-06,Sunday,526,531,494,3.78,0,0,0,0,31.9,1.85
2021-06-07,Monday,432,135,124,4.38,1,1,0,0,21.5,3.52
2021-06-08,Tuesday,782,760,706,5.33,0,0,1,0,28.1,4.15
2021-06-09,Wednesday,777,783,714,7.82,1,0,0,0,29.3,9.53
2021-06-10,Thursday,408,423,376,2.74,0,0,0,0,27.8,4.16
2021-06-11,Friday,508,138,145,3.58,1,1,0,1,26.6,2.79
2021-06-12,Saturday,605,663,595,6.69,0,0,0,1,30.6,7.17
2021-06-13,Sunday,560,616,560,4.94,0,0,1,0,31.3,3.78
2021-06-14,Monday,798,786,710,8.61,0,0,0,0,29.0,7.25
2021-06-15,Tuesday,467,488,437,5.74,0,0,0,0,26.9,4.85
2021-06-16,Wednesday,374,387,367,1.83,0,0,0,0,33.3,3.56
2021-06-17,Thursday,383,399,379,5.37,0,0,0,1,22.4,1.72
2021-06-18,Friday,523,552,499,4.98,1,0,0,0,32.4,5.93
2021-06-19,Saturday,757,843,720,9.33,0,0,0,0,31.1,10.5
2021-06-20,Sunday,621,611,561,3.7,0,0,0,0,30.0,3.46
2021-06-21,Monday,382,393,348,4.88,0,0,0,0,29.0,4.97
2021-06-22,Tuesday,262,308,261,3.38,0,0,0,0,19.6,2.96
2021-06-23,Wednesday,646,208,181,3.68,1,1,1,0,35.9,3.42
2021-06-24,Thursday,591,556,505,5.36,0,0,0,0,33.2,6.31
2021-06-25,Friday,713,688,627,6.95,1,0,0,0,24.2,10.38
2021-06-26,Saturday,417,385,343,2.28,0,0,0,0,32.8,0.8
2021-06-27,Sunday,659,707,641,7.94,0,0,1,0,29.9,6.68
2021-06-28,Monday,535,636,574,7.77,1,0,0,1,26.1,8.93
2021-06-29,Tuesday,536,594,550,4.58,0,0,1,0,35.0,4.34
2021-06-30,Wednesday,262,243,236,3.12,0,0,0,0,26.8,3.49
2021-07-01,Thursday,762,769,674,8.28,0,0,0,0,35.8,7.27
2021-07-02,Friday,774,789,706,7.22,1,0,0,0,31.7,7.18
2021-07-03,Saturday,230,206,180,5.02,0,0,0,0,33.8,3.37
2021-07-04,Sunday,262,275,256,2.85,0,0,0,0,31.9,3.51
2021-07-05,Monday,151,50,56,1.0,0,1,0,0,31.7,2.63
2021-07-06,Tuesday,791,265,232,5.09,0,1,0,0,30.1,2.91
2021-07-07,Wednesday,369,112,96,1.0,1,1,0,0,25.4,1.28
2021-07-08,Thursday,715,684,641,5.98,0,0,0,0,29.3,5.93
2021-07-09,Friday,374,338,302,5.78,0,0,0,0,33.6,4.06
2021-07-10,Saturday,534,508,462,3.62,1,0,0,0,32.6,5.93
2021-07-11,Sunday,552,556,487,8.85,0,0,0,0,31.5,6.78
2021-07-12,Monday,787,900,800,7.37,0,0,0,1,18.5,7.18
2021-07-13,Tuesday,279,333,284,4.41,0,0,0,0,27.9,3.51
2021-07-14,Wednesday,202,212,188,2.64,0,0,1,0,27.4,2.87
2021-07-15,Thursday,565,598,538,6.61,0,0,0,0,23.5,4.96
2021-07-16,Friday,396,342,333,2.29,0,0,0,0,33.5,0.5
2021-07-17,Saturday,588,599,563,1.89,0,0,0,0,18.9,3.3
2021-07-18,Sunday,352,328,300,4.65,0,0,1,0,33.2,3.4
2021-07-19,Monday,333,304,273,3.68,0,0,0,0,35.6,0.5
2021-07-20,Tuesday,272,83,83,4.45,0,1,0,0,28.0,2.89
2021-07-21,Wednesday,550,603,536,6.74,0,0,1,0,28.6,6.01
2021-07-22,Thursday,443,416,404,3.64,1,0,0,0,33.8,1.97
2021-07-23,Friday,429,394,360,6.2,0,0,0,0,25.2,6.69
2021-07-24,Saturday,759,684,645,4.93,1,0,0,0,32.3,3.43
2021-07-25,Sunday,347,381,329,6.77,0,0,0,1,24.4,5.37
2021-07-26,Monday,660,197,169,2.87,1,1,0,0,22.9,5.31
2021-07-27,Tuesday,293,328,276,8.32,1,0,1,0,30.5,5.44
2021-07-28,Wednesday,758,774,702,6.96,0,0,0,0,28.9,6.56
2021-07-29,Thursday,350,394,348,2.87,0,0,1,0,20.4,4.6
2021-07-30,Friday,273,266,249,3.68,0,0,0,0,36.1,5.98
2021-07-31,Saturday,336,318,295,4.1,0,0,0,0,26.9,0.5
2021-08-01,Sunday,475,463,411,5.58,0,0,0,0,31.6,1.21
2021-08-02,Monday,613,678,589,3.26,1,0,0,0,37.0,6.77
2021-08-03,Tuesday,498,128,114,2.28,0,1,0,0,30.2,2.36
2021-08-04,Wednesday,552,618,528,4.96,0,0,0,0,35.4,8.83
2021-08-05,Thursday,495,500,471,1.63,0,0,0,0,24.7,2.69
2021-08-06,Friday,660,673,607,6.43,0,0,0,0,36.1,6.2
2021-08-07,Saturday,296,250,235,2.32,1,0,0,0,24.9,5.47
2021-08-08,Sunday,297,312,293,2.89,1,0,0,0,26.1,2.07
2021-08-09,Monday,638,575,528,3.47,0,0,0,0,21.7,5.87
2021-08-10,Tuesday,789,831,716,11.31,0,0,0,1,30.3,10.83
2021-08-11,Wednesday,700,655,566,7.47,0,0,0,0,32.2,10.92
2021-08-12,Thursday,487,558,515,2.12,1,0,1,0,32.8,2.98
2021-08-13,Friday,790,854,756,9.05,0,0,0,0,21.8,8.37
2021-08-14,Saturday,622,569,523,4.41,0,0,0,0,30.9,2.19
2021-08-15,Sunday,300,319,281,6.74,1,0,0,0,31.1,5.94
2021-08-16,Monday,564,198,188,3.04,0,1,0,0,32.1,2.72
2021-08-17,Tuesday,447,442,395,3.83,1,0,0,0,25.1,8.32
2021-08-18,Wednesday,760,730,693,3.56,0,0,1,0,16.5,2.95
2021-08-19,Thursday,412,443,414,3.37,1,0,1,0,32.5,1.75
2021-08-20,Friday,293,82,81,3.44,0,1,0,0,28.3,3.16
2021-08-21,Saturday,495,549,483,4.72,0,0,0,1,30.4,4.64
2021-08-22,Sunday,773,774,699,8.86,0,0,0,0,28.5,6.01
2021-08-23,Monday,721,746,638,9.1,1,0,0,0,30.2,12.37
2021-08-24,Tuesday,151,139,113,4.33,0,0,0,0,32.7,1.66
2021-08-25,Wednesday,453,406,387,3.68,0,0,0,0,19.7,1.15
2021-08-26,Thursday,403,333,311,3.67,0,0,0,0,34.7,4.15
2021-08-27,Friday,602,609,553,3.29,0,0,0,0,28.1,4.52
2021-08-28,Saturday,186,50,40,3.58,0,1,0,1,37.1,3.26
2021-08-29,Sunday,309,323,282,8.22,1,0,1,0,26.7,4.26
2021-08-30,Monday,158,167,129,5.84,0,0,0,0,25.6,5.41
2021-08-31,Tuesday,382,404,372,5.05,0,0,0,0,28.3,2.77
2021-09-01,Wednesday,248,265,234,1.44,0,0,0,0,31.5,1.67
2021-09-02,Thursday,357,371,351,5.56,0,0,1,0,27.6,3.09
2021-09-03,Friday,280,311,289,5.15,0,0,1,0,31.9,2.53
2021-09-04,Saturday,553,555,499,7.68,0,0,0,0,27.1,3.47
2021-09-05,Sunday,301,314,269,3.35,0,0,0,0,29.2,5.56
2021-09-06,Monday,203,226,192,3.65,0,0,0,0,40.2,4.97
2021-09-07,Tuesday,269,308,279,1.42,1,0,0,1,30.8,3.06
2021-09-08,Wednesday,777,863,765,5.06,0,0,0,0,31.2,8.6
2021-09-09,Thursday,736,786,681,7.24,0,0,0,0,21.6,11.59
2021-09-10,Friday,774,236,215,4.5,1,1,0,0,35.8,2.2
2021-09-11,Saturday,569,492,465,3.24,1,0,0,0,34.3,3.21
2021-09-12,Sunday,571,559,503,4.38,0,0,0,0,25.4,1.44
2021-09-13,Monday,253,258,232,4.54,0,0,1,0,34.2,3.93
2021-09-14,Tuesday,403,397,366,1.0,1,0,0,0,30.6,4.48
2021-09-15,Wednesday,376,401,354,4.11,0,0,0,0,29.2,3.15
2021-09-16,Thursday,261,250,225,4.48,0,0,0,0,35.5,2.26
2021-09-17,Friday,659,566,540,3.2,0,0,0,0,26.4,2.17
2021-09-18,Saturday,622,641,591,7.59,0,0,0,0,25.4,1.99
2021-09-19,Sunday,248,273,240,3.12,0,0,0,0,30.0,4.94
2021-09-20,Monday,302,314,301,2.15,1,0,1,0,31.6,3.37
2021-09-21,Tuesday,487,569,485,5.35,0,0,0,1,33.8,7.79
2021-09-22,Wednesday,312,300,296,1.36,0,0,0,0,28.2,0.5
2021-09-23,Thursday,310,303,274,4.59,0,0,1,0,24.8,3.63
2021-09-24,Friday,729,781,690,8.96,0,0,0,0,41.6,5.63
2021-09-25,Saturday,547,512,494,7.37,1,0,0,0,23.6,2.84
2021-09-26,Sunday,426,433,368,7.11,0,0,0,0,29.3,5.73
2021-09-27,Monday,653,653,596,3.51,1,0,0,0,32.9,8.56
2021-09-28,Tuesday,541,573,549,6.05,0,0,0,1,34.8,0.5
2021-09-29,Wednesday,284,264,237,4.86,0,0,0,0,26.2,4.33
2021-09-30,Thursday,344,327,307,3.65,1,0,0,0,19.6,2.35
2021-10-01,Friday,550,546,493,7.34,0,0,0,0,26.0,3.97
2021-10-02,Saturday,789,721,685,8.74,0,0,0,0,33.3,4.25
2021-10-03,Sunday,182,197,179,3.15,1,0,0,0,32.2,1.48
2021-10-04,Monday,609,604,529,5.13,0,0,0,0,32.4,4.66
2021-10-05,Tuesday,619,667,582,9.56,1,0,1,0,32.6,9.95
2021-10-06,Wednesday,524,478,438,9.48,1,0,0,0,35.7,9.52
2021-10-07,Thursday,171,168,149,3.81,0,0,0,0,25.1,0.5
2021-10-08,Friday,187,184,170,3.33,0,0,1,0,23.0,0.5
2021-10-09,Saturday,379,424,378,5.34,0,0,0,1,30.9,2.95
2021-10-10,Sunday,514,460,416,5.73,0,0,0,0,23.8,3.85
2021-10-11,Monday,712,667,589,4.25,1,0,0,0,22.7,5.31
2021-10-12,Tuesday,587,583,539,5.47,1,0,0,0,35.1,3.72
2021-10-13,Wednesday,432,406,355,5.8,0,0,0,0,30.3,5.52
2021-10-14,Thursday,176,209,184,4.26,0,0,0,1,29.1,0.62
2021-10-15,Friday,375,357,316,5.06,0,0,0,0,29.2,6.78
2021-10-16,Saturday,426,380,363,3.61,0,0,0,0,28.5,0.5
2021-10-17,Sunday,758,708,659,1.41,1,0,1,0,35.1,7.29
2021-10-18,Monday,433,448,420,2.74,0,0,0,0,21.4,5.6
2021-10-19,Tuesday,630,671,623,6.68,1,0,1,0,21.2,7.61
2021-10-20,Wednesday,602,626,555,8.37,0,0,0,0,24.3,9.26
2021-10-21,Thursday,665,757,691,5.37,1,0,1,1,30.4,8.53
2021-10-22,Friday,696,802,715,5.56,0,0,0,1,38.0,8.58
2021-10-23,Saturday,341,372,331,6.05,0,0,0,0,33.3,6.29
2021-10-24,Sunday,198,196,178,3.98,0,0,0,0,32.0,1.58
2021-10-25,Monday,661,617,573,4.7,1,0,0,0,28.6,6.87
2021-10-26,Tuesday,166,164,148,4.93,0,0,0,0,22.3,3.73
2021-10-27,Wednesday,321,314,292,1.59,0,0,1,0,31.6,2.76
2021-10-28,Thursday,369,406,346,7.89,0,0,1,0,39.1,5.53
2021-10-29,Friday,307,317,281,1.78,0,0,0,0,27.8,3.92
2021-10-30,Saturday,626,668,583,5.69,0,0,0,0,26.2,5.29
2021-10-31,Sunday,195,202,192,1.18,1,0,0,0,27.8,1.68
2021-11-01,Monday,522,537,480,4.59,0,0,0,1,32.0,5.78
2021-11-02,Tuesday,667,658,581,7.29,0,0,0,1,29.6,6.43
2021-11-03,Wednesday,248,263,226,5.76,0,0,0,0,33.6,5.24
2021-11-04,Thursday,186,138,128,2.9,0,0,1,0,28.8,1.39
2021-11-05,Friday,429,461,397,3.72,0,0,0,1,27.8,5.47
2021-11-06,Saturday,498,519,465,1.87,0,0,0,0,30.1,5.77
2021-11-07,Sunday,646,650,579,7.93,0,0,0,0,26.3,6.14
2021-11-08,Monday,451,521,448,7.82,0,0,0,0,37.7,5.68
2021-11-09,Tuesday,330,307,272,6.35,1,0,0,0,33.1,6.1
2021-11-10,Wednesday,756,710,648,5.67,0,0,0,0,23.5,1.98
2021-11-11,Thursday,248,243,233,4.25,1,0,1,0,25.3,4.06
2021-11-12,Friday,265,287,245,3.66,0,0,0,0,31.8,2.3
2021-11-13,Saturday,340,331,300,5.07,0,0,0,0,29.9,5.43
2021-11-14,Sunday,402,490,445,4.11,0,0,1,1,30.5,5.39
2021-11-15,Monday,310,278,269,1.53,0,0,0,0,28.0,2.28
2021-11-16,Tuesday,405,387,352,4.84,1,0,0,0,31.3,5.94
2021-11-17,Wednesday,472,510,453,5.96,1,0,0,0,28.2,5.36
2021-11-18,Thursday,277,252,226,5.57,0,0,0,0,31.8,2.41
2021-11-19,Friday,167,130,132,1.0,0,0,0,0,32.9,0.5
2021-11-20,Saturday,715,758,710,6.81,0,0,0,1,37.0,6.28
2021-11-21,Sunday,719,224,217,3.12,0,1,0,0,26.4,0.5
2021-11-22,Monday,472,482,419,7.89,0,0,0,0,28.9,5.33
2021-11-23,Tuesday,775,761,705,7.48,1,0,0,0,22.9,9.52
2021-11-24,Wednesday,437,438,385,1.03,1,0,0,0,38.1,8.04
2021-11-25,Thursday,788,787,726,7.74,1,0,0,0,19.1,6.45
2021-11-26,Friday,304,347,302,6.94,1,0,0,1,37.4,3.08
2021-11-27,Saturday,639,560,535,1.61,0,0,0,0,29.5,2.69
2021-11-28,Sunday,535,512,482,1.34,0,0,0,0,31.1,2.59
2021-11-29,Monday,253,291,258,5.71,0,0,1,1,28.2,4.58
2021-11-30,Tuesday,542,644,574,6.55,0,0,1,0,29.2,5.29
2021-12-01,Wednesday,395,365,367,1.23,0,0,0,0,31.9,0.5
2021-12-02,Thursday,325,343,307,7.07,1,0,0,0,20.8,4.6
2021-12-03,Friday,188,177,161,3.92,1,0,0,0,25.7,3.69
2021-12-04,Saturday,626,611,559,1.61,1,0,0,0,24.8,7.44
2021-12-05,Sunday,687,667,613,3.64,1,0,0,0,31.2,6.89
2021-12-06,Monday,557,620,539,8.83,1,0,1,0,29.0,8.7
2021-12-07,Tuesday,674,599,568,4.27,0,0,0,0,32.1,4.87
2021-12-08,Wednesday,655,612,582,2.85,1,0,0,0,29.8,4.84
2021-12-09,Thursday,185,172,166,3.64,0,0,0,0,34.3,1.2
2021-12-10,Friday,169,50,40,1.96,0,1,1,0,25.3,2.14
2021-12-11,Saturday,470,432,387,2.73,1,0,0,0,29.3,2.99
2021-12-12,Sunday,661,640,601,6.48,1,0,1,0,34.5,3.65
2021-12-13,Monday,549,144,133,5.21,0,1,0,0,33.5,2.74
2021-12-14,Tuesday,620,594,557,5.4,0,0,0,0,21.6,2.43
2021-12-15,Wednesday,292,292,269,1.0,0,0,0,0,23.9,1.59
2021-12-16,Thursday,241,58,67,5.34,0,1,0,0,28.6,2.64
2021-12-17,Friday,503,493,433,9.07,1,0,0,0,27.8,7.73
2021-12-18,Saturday,200,202,181,5.95,0,0,0,0,28.7,3.31
2021-12-19,Sunday,724,658,630,4.59,0,0,0,0,33.0,4.46
2021-12-20,Monday,339,338,316,3.87,0,0,0,0,30.4,3.8
2021-12-21,Tuesday,274,299,261,5.38,0,0,0,1,30.7,4.96
2021-12-22,Wednesday,299,83,75,1.0,0,1,0,0,32.4,3.21
2021-12-23,Thursday,463,469,416,4.43,1,0,0,1,34.4,4.64
2021-12-24,Friday,719,684,636,4.08,0,0,0,0,15.0,1.36
2021-12-25,Saturday,491,424,402,4.8,0,0,0,0,27.1,1.0
2021-12-26,Sunday,454,465,409,6.02,0,0,0,0,24.6,3.73
2021-12-27,Monday,203,237,213,2.1,0,0,0,1,31.4,3.65
2021-12-28,Tuesday,593,630,558,3.59,1,0,0,0,26.7,6.9
2021-12-29,Wednesday,762,766,700,6.77,0,0,0,0,29.4,5.82
2021-12-30,Thursday,413,405,396,1.08,1,0,0,1,33.3,2.63
2021-12-31,Friday,202,62,59,1.0,0,1,0,0,26.0,2.22
